조사년도,학제명,시도명,층화학교ID,70%추출,학제유형명,휴직여자수석교사수,보직교사수,여자보직교사수,휴직보직교사수,휴직여자보직교사수,교사수,여자교사수,휴직교사수,휴직여자교사수,전문상담교사수,여자전문상담교사수,휴직전문상담교사수,휴직여자전문상담교사수,사서교사수,휴직수석교사수,여자수석교사수,수석교사수,휴직여자교감수,휴직교감수,여자교감수,교감수,휴직여자교장수,휴직교장수,여자교장수,교장수,유초중등교원_여자교원수,유초중등교원_교원수,여자사서교사수,휴직사서교사수,여자시간강사수,시간강사수,여자기간제교사수,기간제교사수,휴직여자영양교사수,휴직영양교사수,여자영양교사수,영양교사수,휴직여자보건교사수,휴직보건교사수,여자보건교사수,보건교사수,휴직여자실기교사수,휴직실기교사수,여자실기교사수,실기교사수,휴직여자사서교사수
2021,일반고등학교,경기,1096577244,Y,일반고등학교,0,0,0,0,0,69,48,2,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,52,73,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2021,일반중학교,경기,1098030183,Y,중학교,0,0,0,0,0,27,11,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,14,32,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0
2021,유치원,경기,1103081218,Y,유치원,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1104336287,Y,유치원,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1105086158,Y,유치원,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,초등학교,경기,1108021522,Y,초등학교,0,0,0,0,0,8,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,6,12,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2021,유치원,경기,1111728177,Y,유치원,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,초등학교,경기,1112407425,Y,초등학교,0,0,0,0,0,10,8,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,10,13,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2021,초등학교,경기,1115327259,Y,초등학교,0,0,0,0,0,18,14,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,17,23,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
2021,초등학교,경기,1118016561,Y,초등학교,0,0,0,0,0,40,31,5,4,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,35,45,0,0,2,2,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
2021,유치원,경기,1118105368,Y,유치원,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,일반중학교,경기,1118872300,Y,중학교,0,0,0,0,0,48,25,2,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,27,52,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
