정책단위사업,정책단위사업.1,합계금액,지역명
,국제교육,0.0,울산
,독서활동,40439100.0,울산
,교기육성,27535220.0,울산
,기타 선택적 교육활동,12660830.0,울산
교육활동 지원,교육활동 지원,582512200.0,울산
,교무업무 운영,7004700.0,울산
,생활지도 운영,20147590.0,울산
,연구학교 운영,11950000.0,울산
,학습지원실 운영,117408920.0,울산
,교육여건 개선,426000990.0,울산
학교 일반운영,학교 일반운영,271276490.0,울산
,학교기관운영,80497670.0,울산
,시설 장비 유지,181821460.0,울산
,학교운영 협력,8957360.0,울산
학교시설 확충,학교시설 확충,0.0,울산
,시설확충 및 개선,0.0,울산
학교 재무활동,학교 재무활동,27335000.0,울산
,반환금,27335000.0,울산
,예비비,0.0,울산
세출합계,세출합계,2138577845.0,울산
정책사업,단위사업,0.0,인천
인적자원 운용,인적자원 운용,160476910.0,인천
,교직원보수,0.0,인천
,기타 교직원 보수,96883560.0,인천
,교직원 복지 및 역량강화,63593350.0,인천
학생복지/교육격차 해소,학생복지/교육격차 해소,2428093400.0,인천
,급식 관리,1941303520.0,인천
,기숙사 관리,0.0,인천
,보건관리,299776050.0,인천
,교육격차 해소,41817700.0,인천
,학생복지,145196130.0,인천
기본적 교육활동,기본적 교육활동,1487289030.0,인천
,교과 활동,1148248520.0,인천
,창의적 체험활동,325040510.0,인천
,자유학기(년) 활동,14000000.0,인천
선택적 교육활동,선택적 교육활동,1325456870.0,인천
,방과후학교 운영,960656450.0,인천
,직업교육,0.0,인천
,국제교육,0.0,인천
,독서활동,98910150.0,인천
,교기육성,250534860.0,인천
,기타 선택적 교육활동,15355410.0,인천
교육활동 지원,교육활동 지원,1275082410.0,인천
,교무업무 운영,261518070.0,인천
,생활지도 운영,60754600.0,인천
,연구학교 운영,38901280.0,인천
,학습지원실 운영,117725130.0,인천
,교육여건 개선,796183330.0,인천
학교 일반운영,학교 일반운영,907087440.0,인천
,학교기관운영,298548700.0,인천
,시설 장비 유지,599548110.0,인천
,학교운영 협력,8990630.0,인천
학교시설 확충,학교시설 확충,0.0,인천
,시설확충 및 개선,0.0,인천
학교 재무활동,학교 재무활동,89885140.0,인천
,반환금,89885140.0,인천
,예비비,0.0,인천
세출합계,세출합계,7673371200.0,인천
정책사업,단위사업,0.0,전남
인적자원 운용,인적자원 운용,98533520.0,전남
,교직원보수,0.0,전남
,기타 교직원 보수,75698290.0,전남
,교직원 복지 및 역량강화,22835230.0,전남
학생복지/교육격차 해소,학생복지/교육격차 해소,873792640.0,전남
,급식 관리,559096530.0,전남
,기숙사 관리,0.0,전남
,보건관리,130637320.0,전남
,교육격차 해소,0.0,전남
,학생복지,184058790.0,전남
기본적 교육활동,기본적 교육활동,843457760.0,전남
