조사년도,개방ID,학교명,시도명,학교구분명,전문대_여자재학생수,전문대_재학생수,전문대_재적여학생수,전문대_재적학생수,전문대_학사심화과정입학정원수,전문대_입학정원수,전문대_심화과정학과수,전문대_학과수,전문대_휴학생수,전문대_여자휴학생수,전문대_야간4학년재적여학생수,전문대_야간4학년재적학생수,전문대_야간3학년재적여학생수,전문대_야간3학년재적학생수,전문대_야간2학년재적여학생수,전문대_야간2학년재적학생수,전문대_야간1학년재적여학생수,전문대_야간1학년재적학생수,전문대_야간여자휴학생수,전문대_야간휴학생수,전문대_야간여자재학생수,전문대_야간재학생수,전문대_주간학사심화과정4학년재적학생수,전문대_주간학사심화과정3학년재적학생수,전문대_주간학사심화과정2학년재적학생수,전문대_주간학사심화과정1학년재적학생수,전문대_주간4학년재적여학생수,전문대_주간4학년재적학생수,전문대_주간3학년재적여학생수,전문대_주간3학년재적학생수,전문대_주간2학년재적여학생수,전문대_주간2학년재적학생수,전문대_주간1학년재적여학생수,전문대_주간1학년재적학생수,전문대_주간여자휴학생수,전문대_주간휴학생수,전문대_주간여자재학생수,전문대_주간재학생수,전문대_여자졸업생수,전문대_졸업생수,전문대_학사심화과정여자입학생수,전문대_학사심화과정입학생수,전문대_여자입학생수,전문대_입학생수,전문대_야간학사심화과정4학년재적학생수,전문대_야간학사심화과정3학년재적학생수,전문대_야간학사심화과정2학년재적학생수,전문대학_주간학사심화과정재적학생수,전문대학_주간학사심화과정재적여학생수,전문대_건물면적,전문대학_주간학사심화과정1학년재적여학생수,전문대학_주간학사심화과정2학년재적여학생수,전문대_교원정원수,전문대_교원수,전문대_학교수,전문대_사무직원정원수,전문대_사무직원수,전문대학_야간학사심화과정4학년재적여학생수,전문대학_야간학사심화과정3학년재적여학생수,전문대학_야간학사심화과정2학년재적여학생수,전문대학_야간학사심화과정1학년재적여학생수,전문대학_야간학사심화과정재적학생수,전문대학_야간학사심화과정재적여학생수,전문대_여자교원수,전문대_여자사무직원수,전문대학_주간학사심화과정4학년재적여학생수,전문대학_주간학사심화과정3학년재적여학생수,전문대_야간학사심화과정1학년재적학생수,,,,,
2009,2440073192,울산과학대학,울산,전문대학,2067,5376,2259,9314,40,0,1,72,3938,192,0,0,1,3,101,399,114,378,12,136,204,670,0,0,0,0,0,0,375,706,839,3071,829,4731,180,3802,1863,4706,777,2020,0,11,895,2563,0,0,15,0,0,65765,0,0,250,136,1,96,56,0,0,0,0,26,0,25,13,0,0,11,,,,2435201764,안산1대학
2009,2520514249,전주기전대학,전북,전문대학,1499,1847,1579,2103,0,0,0,16,256,80,0,0,0,0,142,162,134,156,11,17,265,301,0,0,0,0,0,0,153,174,579,796,571,815,69,239,1234,1546,671,771,0,0,674,879,0,0,0,0,0,22607,0,0,100,51,1,39,21,0,0,0,0,0,0,25,10,0,0,0,,,,2440073192,울산과학대학
2009,2568355739,강동대학,충북,전문대학,2160,3517,2370,5322,0,0,0,40,1805,210,0,0,0,0,28,62,0,2,1,4,27,60,0,0,0,0,0,0,306,412,1023,2405,1013,2441,209,1801,2133,3457,990,1505,0,0,935,1803,0,0,0,0,0,60046,0,0,228,64,1,47,20,0,0,0,0,0,0,12,3,0,0,0,,,,2520514249,전주기전대학
2009,2615469813,동강대학,광주,전문대학,2562,4149,2821,5783,80,0,4,52,1634,259,0,0,0,0,215,361,222,448,25,86,418,792,0,0,0,0,0,0,287,366,903,2122,1188,2417,234,1548,2144,3357,1029,1695,2,32,1259,2137,0,0,35,0,0,28751,0,0,203,102,1,69,47,0,0,4,2,69,6,25,5,0,0,34,,,,2568355739,강동대학
2009,2655661106,용인송담대학,경기,전문대학,2155,4208,2410,6805,0,0,0,98,2597,255,0,0,0,7,196,557,177,453,35,319,338,698,0,0,0,0,0,0,79,131,948,2882,1010,2775,220,2278,1817,3510,877,1669,0,0,1096,2212,0,0,0,0,0,30343,0,0,212,97,1,42,35,0,0,0,0,0,0,20,6,0,0,0,,,,2615469813,동강대학
2009,2667451024,국제대학,경기,전문대학,1882,3653,2180,6334,0,0,0,93,2681,298,0,0,0,0,15,176,7,86,0,68,22,194,0,0,0,0,0,0,0,0,1043,2444,1115,3628,298,2613,1860,3459,812,1348,0,0,1016,2167,0,0,0,0,0,41915,0,0,204,86,1,56,25,0,0,0,0,0,0,27,3,0,0,0,,,,2655661106,용인송담대학
2009,2708199679,대림대학,경기,전문대학,2115,6348,2437,11901,140,0,4,100,5553,322,0,0,31,186,337,1377,212,1618,115,1533,490,1756,0,0,0,0,0,0,137,299,741,3058,954,5255,207,4020,1625,4592,895,2580,16,80,1011,3250,0,0,80,0,0,70463,0,0,294,163,1,74,48,0,0,16,9,108,25,28,6,0,0,28,,,,2667451024,국제대학
2009,2735845208,한양여자대학,서울,전문대학,6640,6640,7131,7131,90,0,4,55,491,491,0,0,3,3,331,331,162,162,7,7,588,588,0,0,0,0,0,0,778,778,2808,2808,2950,2950,484,484,6052,6052,2750,2750,75,75,2974,2974,0,0,75,0,0,80841,0,0,301,162,1,129,65,0,0,75,24,99,99,98,19,0,0,24,,,,2708199679,대림대학
2009,2751910030,전남과학대학,전남,전문대학,1724,3609,1899,4383,50,0,2,37,774,175,0,0,0,0,34,157,4,108,5,12,36,292,0,0,0,0,0,0,317,365,677,1685,864,2029,170,762,1688,3317,586,1411,3,39,786,1821,0,0,0,0,0,55793,0,0,181,93,1,23,49,0,0,0,3,39,3,36,22,0,0,39,,,,2735845208,한양여자대학
2009,2756348550,경북도립대학,경북,전문대학,348,775,378,1158,0,0,0,14,383,30,0,0,0,0,10,25,10,40,1,8,19,57,0,0,0,0,0,0,27,36,143,427,188,630,29,375,329,718,106,237,0,0,184,460,0,0,0,0,0,28134,0,0,49,30,1,31,26,0,0,0,0,0,0,8,10,0,0,0,,,,2751910030,전남과학대학
