조사년도,개방ID,학교명,시도명,학제유형명,학교구분명,대학교개황_교원정원수,대학교개황_교원수,대학교개황_휴학생수,대학교개황_학교수,대학교개황_사무직원정원수,대학교개황_사무직원수,대학교개황_입학생수,대학교개황_입학정원수,대학교개황_주간휴학생수,대학교개황_주간6학년재적학생수,대학교개황_주간6학년재적여학생수,대학교개황_주간5학년재적학생수,대학교개황_주간5학년재적여학생수,대학교개황_주간4학년재적학생수,대학교개황_주간4학년재적여학생수,대학교개황_주간3학년재적학생수,대학교개황_주간3학년재적여학생수,대학교개황_주간2학년재적학생수,대학교개황_주간2학년재적여학생수,대학교개황_주간1학년재적학생수,대학교개황_주간1학년재적여학생수,대학교개황_주간여자휴학생수,대학교개황_주간여자재학생수,대학교개황_주간재학생수,대학교개황_주간입학정원수,대학교개황_분교학교수,대학교개황_건물면적,대학교개황_취업자수,대학교개황_재적여학생수,대학교개황_야간휴학생수,대학교개황_야간6학년재적학생수,대학교개황_야간6학년재적여학생수,대학교개황_야간5학년재적학생수,대학교개황_야간5학년재적여학생수,대학교개황_야간4학년재적학생수,대학교개황_야간4학년재적여학생수,대학교개황_야간3학년재적학생수,대학교개황_야간3학년재적여학생수,대학교개황_야간2학년재적학생수,대학교개황_야간2학년재적여학생수,대학교개황_야간1학년재적학생수,대학교개황_야간1학년재적여학생수,대학교개황_야간여자휴학생수,대학교개황_야간여자재학생수,대학교개황_야간재학생수,대학교개황_야간입학정원수,대학교개황_학과수,대학교개황_졸업생수,대학교개황_여자교원수,대학교개황_여자휴학생수,대학교개황_여자사무직원수,대학교개황_여자입학생수,대학교개황_여자졸업생수,대학교개황_여자재학생수,대학교개황_여자취업자수,대학교개황_재학생수,대학교개황_재적학생수
2009,2527394115,건동대학교,경북,대학,대학,76,32,180,1,34,19,121,0,180,0,0,0,0,60,24,154,42,175,21,153,10,1,96,362,0,0,19403,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,2,1,2,14,0,1,0,362,542
2009,2627714097,광주가톨릭대학교,전남,대학,대학,11,19,54,1,40,29,24,0,54,0,0,0,0,34,2,69,2,45,3,24,2,1,8,118,0,0,18534,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,1,1,20,2,1,1,0,118,172
2009,2628103554,동양대학교,경북,대학,대학,233,109,2483,1,130,69,1288,0,2483,0,0,0,0,885,287,1053,327,1933,331,2294,360,171,1134,3682,0,0,37704,442,1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,853,16,171,12,337,271,171,144,3682,6165
2009,2705171465,가톨릭관동대학교,강원,대학,대학,505,396,4998,1,153,111,2621,0,4997,0,0,21,2,2199,788,2955,875,4578,802,3322,765,386,2846,8078,0,0,116697,1142,3267,1,0,0,0,0,13,12,23,23,0,0,0,0,1,34,35,0,47,1720,107,387,13,724,573,387,416,8113,13111
2009,2747833073,한북대학교,경기,대학,대학,37,29,272,1,0,18,263,0,272,0,0,0,0,28,21,134,95,276,134,405,148,52,346,571,0,0,12242,0,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,15,52,7,133,0,52,0,571,843
2009,2749129652,고려사이버대학교,서울,사이버대학(대학과정),대학,41,40,1402,1,68,37,965,0,1402,0,0,0,0,4003,2004,2510,1288,981,488,965,485,694,3571,7057,0,0,1424,1089,4265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1408,17,694,17,485,735,694,540,7057,8459
2009,2790658831,제주대학교,제주,대학,대학,575,537,5712,1,330,311,2491,0,5278,0,0,28,8,3436,1454,3167,1305,4671,1101,3282,1166,963,4071,9306,0,0,161038,1174,5278,434,0,0,0,0,248,99,212,61,207,41,142,43,97,147,375,0,128,2204,81,1060,99,1103,1020,1060,540,9681,15393
2009,2795465350,서울여자대학교,서울,대학,대학,350,206,1451,1,110,101,1914,0,1427,0,0,0,0,2764,2764,2331,2331,1855,1855,1885,1885,1427,7408,7408,0,0,105921,996,8927,24,0,0,0,0,79,79,12,12,1,1,0,0,24,68,68,0,51,1510,100,1451,48,1914,1510,1451,996,7476,8927
2009,2797256529,세계사이버대학,경기,원격대학(전문대학과정),전문대학,11,11,187,1,49,27,1358,0,187,0,0,0,0,0,0,0,0,957,695,1523,1091,128,1658,2293,0,0,0,513,1786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1164,5,128,11,978,836,128,350,2293,2480
2009,2892641246,목포가톨릭대학교,전남,대학,대학,28,17,40,1,21,10,160,0,39,0,0,0,0,131,117,142,118,147,117,156,128,19,461,537,0,0,9468,140,520,1,0,0,0,0,19,19,21,21,0,0,0,0,1,39,39,0,4,149,12,20,5,140,139,20,132,576,616
