공시년도,개방ID,학교명,학교급명,시도교육청명,공시차수,동아리_자원봉사자및외부강사수,동아리활동_학교수,동아리활동_참여학생수,동아리참여교사수,동아리수
2009,1059512317,신도림고등학교,고등학교,서울특별시교육청,2,0,1,88,7,7
2009,1059736549,화동초등학교,초등학교,강원특별자치도교육청,2,0,1,17,2,1
2009,1059942007,두일초등학교,초등학교,경기도교육청,2,0,1,95,7,2
2009,1061026155,송림중학교,중학교,경기도교육청,2,0,1,26,1,1
2009,1061046540,서울영도초등학교,초등학교,서울특별시교육청,2,0,1,218,9,2
2009,1061311006,개원초등학교,초등학교,부산광역시교육청,2,0,1,80,4,4
2009,1061601221,여고초등학교,초등학교,부산광역시교육청,2,0,1,5,1,1
2009,1061990678,남포중학교,중학교,충청남도교육청,2,0,1,0,0,0
2009,1063090920,광양중학교,중학교,서울특별시교육청,2,2,1,67,4,4
2009,1063238441,관악고등학교,고등학교,서울특별시교육청,2,0,1,414,14,14
2009,1063578009,나주다시중학교,중학교,전라남도교육청,2,0,1,17,1,1
2009,1064996361,송일초등학교,초등학교,경기도교육청,2,0,1,40,4,2
2009,1066398084,점곡초등학교,초등학교,경상북도교육청,2,0,1,49,2,4
2009,1068099677,부구중학교,중학교,경상북도교육청,2,0,1,0,0,0
2009,1070928871,송현여자중학교,중학교,대구광역시교육청,2,0,1,102,7,7
2009,1071042597,장자중학교,중학교,경기도교육청,2,0,1,182,9,9
2009,1071097314,동해초등학교,초등학교,경상남도교육청,2,0,1,0,0,0
2009,1071366608,신길중학교,중학교,경기도교육청,2,1,1,32,2,2
2009,1071521639,청파초등학교,초등학교,충청남도교육청,2,0,1,93,2,2
2009,1073943674,구지중학교,중학교,대구광역시교육청,2,0,1,9,1,1
2009,1074622273,군산서초등학교,초등학교,전북특별자치도교육청,2,0,1,17,1,1
2009,1075360953,사우초등학교,초등학교,경기도교육청,2,0,1,153,13,3
2009,1075531542,군위정보고등학교,고등학교,경상북도교육청,2,0,1,43,1,1
2009,1075577139,남면중학교,중학교,충청남도교육청,2,0,1,33,9,2
2009,1075603425,서울남성초등학교,초등학교,서울특별시교육청,2,0,1,84,5,2
2009,1075878620,충주예성초등학교,초등학교,충청북도교육청,2,0,1,86,6,6
2009,1076049745,단원중학교,중학교,경기도교육청,2,0,1,0,0,0
2009,1078490555,목포한빛초등학교,초등학교,전라남도교육청,2,0,1,32,1,1
2009,1079634785,치악고등학교,고등학교,강원특별자치도교육청,2,0,1,59,3,3
2009,1079793572,진평초등학교,초등학교,경상북도교육청,2,0,1,279,10,3
2009,1080949604,서울개일초등학교,초등학교,서울특별시교육청,2,0,1,93,6,2
2009,1081282198,남한고등학교,고등학교,경기도교육청,2,0,1,852,19,19
2009,1081842243,상일중학교,중학교,서울특별시교육청,2,3,1,102,5,5
2009,1082248866,서동초등학교,초등학교,부산광역시교육청,2,0,1,94,4,4
2009,1083786308,회인초등학교,초등학교,충청북도교육청,2,0,1,20,1,1
2009,1084430038,솔빛초등학교,초등학교,경기도교육청,2,0,1,266,14,4
2009,1084438085,양운고등학교,고등학교,부산광역시교육청,2,0,1,350,13,12
2009,1084861874,신라중학교,중학교,경상북도교육청,2,2,1,28,1,1
2009,1084933757,효양고등학교,고등학교,경기도교육청,2,0,1,290,11,9
2009,1085560321,부용중학교,중학교,경기도교육청,2,0,1,39,2,2
2009,1086153090,서울숭미초등학교,초등학교,서울특별시교육청,2,1,1,19,1,1
2009,1086434721,금산여자중학교,중학교,충청남도교육청,2,0,1,126,3,3
2009,1087284445,대일초등학교,초등학교,경기도교육청,2,0,1,50,3,3
2009,1089055240,강경중앙초등학교,초등학교,충청남도교육청,2,0,1,35,2,2
2009,1089138388,녹천중학교,중학교,서울특별시교육청,2,8,1,95,8,8
2009,1089205980,강진동초등학교,초등학교,전라남도교육청,2,0,1,0,0,0
2009,1091173648,황룡초등학교,초등학교,경기도교육청,2,6,1,90,7,2
2009,1092863440,대전과학고등학교,고등학교,대전광역시교육청,2,0,1,145,23,27
2009,1093491077,광운인공지능고등학교,고등학교,서울특별시교육청,2,0,1,1282,80,58
2009,1094000160,은산초등학교,초등학교,충청남도교육청,2,1,1,26,0,1
2009,1094385325,덕적중학교,중학교,인천광역시교육청,2,0,1,22,4,4
2009,1095053195,남양주월문초등학교,초등학교,경기도교육청,2,0,1,0,0,0
2009,1095055878,상서중학교,중학교,강원특별자치도교육청,2,0,1,0,0,0
2009,1096000015,김천중앙고등학교,고등학교,경상북도교육청,2,0,1,58,7,6
2009,1096050977,한국뷰티고등학교,고등학교,제주특별자치도교육청,2,0,1,100,7,7
2009,1098245024,토평초등학교,초등학교,경기도교육청,2,0,1,45,4,2
2009,1098264336,화진중학교,중학교,울산광역시교육청,2,1,1,158,9,9
2009,1098401129,문내동초등학교,초등학교,전라남도교육청,2,0,1,0,0,0
2009,1098507344,전의초등학교,초등학교,세종특별자치시교육청,2,0,1,76,8,7
2009,1098997652,불광중학교,중학교,서울특별시교육청,2,0,1,86,5,6
2009,1099176824,대전도시과학고등학교,고등학교,대전광역시교육청,2,0,1,169,16,7
2009,1100030303,괘릉초등학교,초등학교,경상북도교육청,2,1,1,38,1,1
