SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
,사립,4,전북특별자치도 전주시 덕진구,,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,복식부기,결산세입,148461042,33479962,0,652103710,28113170,S130000380,9080508360,P100000001,14,일반고등학교,N,우석고등학교,
,사립,4,전북특별자치도 전주시 덕진구,,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,미지정,결산세입,30540369,21436754,0,878811340,22920000,S130000381,8252201250,P100000001,14,일반고등학교,N,전북여자고등학교,
고,사립,4,전북특별자치도 익산시,4.0,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,복식부기,결산세입,504310470,38576250,0,901617990,7920000,S130000382,12037326390,P100000001,14,일반고등학교,N,원광고등학교,
,사립,4,전북특별자치도 익산시,,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,미지정,결산세입,277268150,23899640,0,384812710,7020000,S130000383,8391657990,P100000001,14,일반고등학교,N,원광여자고등학교,
고,사립,4,전북특별자치도 익산시,4.0,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,복식부기,결산세입,81820710,15644838,0,93499980,55900000,S130000385,6328165560,P100000001,14,특성화고등학교,N,원광보건고등학교,
고,사립,4,전북특별자치도 전주시 덕진구,4.0,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,미지정,결산세입,88219875,7038458,0,392716750,1051539,S130000387,8329293150,P100000001,14,일반고등학교,N,유일여자고등학교,
,사립,4,전북특별자치도 익산시,,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,복식부기,결산세입,73676444,66237610,0,464648700,24347760,S130000390,8961521630,P100000001,14,일반고등학교,N,이리남성여자고등학교,
고,사립,4,전북특별자치도 익산시,4.0,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,미지정,결산세입,152451356,4372518,0,314671090,53071900,S130000394,6704997740,P100000001,14,일반고등학교,N,이일여자고등학교,
,사립,4,전북특별자치도 익산시,,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,복식부기,결산세입,1146328854,42132731,0,1148851760,349062500,S130000395,5691153770,P100000001,14,일반고등학교,N,익산고등학교,
고,사립,4,전북특별자치도 정읍시,4.0,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,미지정,결산세입,18438230,17060010,0,535972240,67278640,S130000397,6084316470,P100000001,14,일반고등학교,N,인상고등학교,
