SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
중,공립,3,충청남도 예산군,3.0,충청남도예산교육지원청,충청남도교육청,N100000075,0,N,110274730,복식부기,결산세출,116658590,38477690,190091540,160558870,136111600,S120000688,9447970,28208184.8,N100000001,13,N,신암중학교,
중,공립,3,충청남도 예산군,3.0,충청남도예산교육지원청,충청남도교육청,N100000075,0,N,0,복식부기,결산세출,293570260,248453870,115774160,341234090,370592500,S120000690,19184350,3403944.2,N100000001,13,N,예산여자중학교,
,공립,3,충청남도 예산군,,충청남도예산교육지원청,충청남도교육청,N100000075,0,N,0,복식부기,결산세출,362319490,234812800,633809620,411711510,626794090,S120000691,4094830,5120590.9,N100000001,13,N,예산중학교,
중,공립,3,충청남도 천안시 동남구,3.0,충청남도천안교육지원청,충청남도교육청,N100000079,0,N,0,미지정,결산세출,191388460,120280000,120833580,293221660,185692840,S120000738,6266590,4754834.9,N100000001,13,N,목천중학교,
중,공립,3,충청남도 천안시 동남구,3.0,충청남도천안교육지원청,충청남도교육청,N100000079,0,N,0,복식부기,결산세출,148014530,288610030,108182090,166827290,111669970,S120000739,10528590,7866344.3,N100000001,13,N,병천중학교,
중,공립,3,충청남도 천안시 서북구,3.0,충청남도천안교육지원청,충청남도교육청,N100000079,0,N,0,미지정,결산세출,332668620,149497420,218153780,364664020,312267720,S120000741,7257530,4036469.7,N100000001,13,N,성환중학교,
,공립,3,충청남도 천안시 서북구,,충청남도천안교육지원청,충청남도교육청,N100000079,0,N,0,미지정,결산세출,173166980,64458800,31944570,182301440,174205210,S120000743,5773630,4715303.2,N100000001,13,N,입장중학교,
,공립,3,충청남도 천안시 동남구,,충청남도천안교육지원청,충청남도교육청,N100000079,0,N,12834800,미지정,결산세출,178585380,146434880,164899810,250332550,131082980,S120000744,2704750,15559213.2,N100000001,13,N,천남중학교,
중,공립,3,충청남도 천안시 동남구,3.0,충청남도천안교육지원청,충청남도교육청,N100000079,0,N,0,미지정,결산세출,302920450,126964030,185321320,251353460,573691950,S120000746,45998720,2432487.6,N100000001,13,N,천안동중학교,
중,공립,3,충청남도 천안시 서북구,3.0,충청남도천안교육지원청,충청남도교육청,N100000079,0,N,0,복식부기,결산세출,376039800,170871330,157276730,360551020,804265060,S120000747,58942350,2151725.8,N100000001,13,N,천안두정중학교,
중,공립,3,충청남도 천안시 서북구,3.0,충청남도천안교육지원청,충청남도교육청,N100000079,0,N,0,미지정,결산세출,290268780,603223670,257442280,240999650,449259190,S120000748,9154890,4625871.2,N100000001,13,N,천안봉서중학교,
중,공립,3,충청남도 천안시 서북구,3.0,충청남도천안교육지원청,충청남도교육청,N100000079,0,N,30000000,미지정,결산세출,292636840,371181550,165259940,325672330,526785140,S120000749,10671750,3396859.1,N100000001,13,N,천안부성중학교,
,공립,3,충청남도 천안시 동남구,,충청남도천안교육지원청,충청남도교육청,N100000079,0,N,0,미지정,결산세출,299025360,205541690,604802100,303520590,563484410,S120000750,31838580,3270704.8,N100000001,13,N,천안북중학교,
중,공립,3,충청남도 천안시 서북구,3.0,충청남도천안교육지원청,충청남도교육청,N100000079,0,N,0,복식부기,결산세출,411279412,416198420,142748120,552800920,760483310,S120000752,13146960,2609837.7,N100000001,13,N,천안성정중학교,
중,공립,3,충청남도 천안시 서북구,3.0,충청남도천안교육지원청,충청남도교육청,N100000079,0,N,0,복식부기,결산세출,474419880,215126600,214629520,511434880,931235510,S120000753,142963480,2257307.2,N100000001,13,N,천안쌍용중학교,
중,공립,3,충청남도 천안시 동남구,3.0,충청남도천안교육지원청,충청남도교육청,N100000079,0,N,0,미지정,결산세출,360170970,346883500,258485880,242770290,591285980,S120000754,18965580,2802098.9,N100000001,13,N,천안여자중학교,
,공립,3,충청남도 천안시 동남구,,충청남도천안교육지원청,충청남도교육청,N100000079,0,N,0,복식부기,결산세출,409006390,158324270,464533580,276455720,571112860,S120000755,10993760,3114376.6,N100000001,13,N,천안중학교,
,공립,3,충청남도 청양군,,충청남도청양교육지원청,충청남도교육청,N100000086,53385000,N,50105000,복식부기,결산세출,259260590,96420230,512311830,613651746,705218490,S120000824,45568580,17432249.7,N100000001,13,N,정산중학교,
,공립,3,충청남도 청양군,,충청남도청양교육지원청,충청남도교육청,N100000086,0,N,0,복식부기,결산세출,224695550,151245430,192039950,308838470,296396950,S120000827,38026650,4280010.6,N100000001,13,N,청양중학교,
중,공립,3,충청남도 청양군,3.0,충청남도청양교육지원청,충청남도교육청,N100000086,0,N,0,미지정,결산세출,194030690,113884810,75666810,109708830,124324900,S120000828,13389320,25240214.4,N100000001,13,N,화성중학교,
중,공립,3,충청남도 당진시,3.0,충청남도당진교육지원청,충청남도교육청,N100000090,0,N,0,복식부기,결산세출,143650190,272772100,22742650,147592520,104621950,S120000868,24605110,14038912.2,N100000001,13,N,고대중학교,
,공립,3,충청남도 당진시,,충청남도당진교육지원청,충청남도교육청,N100000090,0,N,0,미지정,결산세출,561332850,161551320,477625310,664039190,1025531880,S120000870,130367760,2704071.9,N100000001,13,N,당진중학교,
중,공립,3,충청남도 당진시,3.0,충청남도당진교육지원청,충청남도교육청,N100000090,0,N,0,미지정,결산세출,95163740,28170690,40288680,75913110,58308790,S120000871,6444770,30428978.0,N100000001,13,Y,당진중학교대호지분교장,
,공립,3,충청남도 당진시,,충청남도당진교육지원청,충청남도교육청,N100000090,0,N,0,미지정,결산세출,160464770,44410335,40048270,123244125,58732310,S120000872,6023010,10307686.2,N100000001,13,N,면천중학교,
중,공립,3,충청남도 당진시,3.0,충청남도당진교육지원청,충청남도교육청,N100000090,0,N,73184000,미지정,결산세출,190395470,73574070,80221810,176905250,237872150,S120000876,34127700,3955618.5,N100000001,13,N,송산중학교,
,공립,3,충청남도 당진시,,충청남도당진교육지원청,충청남도교육청,N100000090,0,N,0,미지정,결산세출,138271460,107753430,23155600,152414830,83290200,S120000878,11232980,9383972.7,N100000001,13,N,순성중학교,
중,공립,3,충청남도 당진시,3.0,충청남도당진교육지원청,충청남도교육청,N100000090,0,N,0,복식부기,결산세출,140115700,156027700,39941980,167048620,82615620,S120000880,4468570,9222159.2,N100000001,13,N,합덕여자중학교,
중,공립,3,충청남도 당진시,3.0,충청남도당진교육지원청,충청남도교육청,N100000090,0,N,0,미지정,결산세출,136045560,65356300,55469780,142518200,92061300,S120000881,24154200,6874737.9,N100000001,13,N,합덕중학교,
중,공립,3,충청남도 서산시,3.0,충청남도서산교육지원청,충청남도교육청,N100000094,0,N,0,복식부기,결산세출,152734290,92727220,30292320,135452130,140202100,S120000929,16191490,12899989.8,N100000001,13,N,고북중학교,
,공립,3,충청남도 서산시,,충청남도서산교육지원청,충청남도교육청,N100000094,0,N,0,복식부기,결산세출,159695530,138582800,32253510,120315050,114246830,S120000932,37566810,10761795.2,N100000001,13,N,부석중학교,
중,공립,3,충청남도 서산시,3.0,충청남도서산교육지원청,충청남도교육청,N100000094,0,N,0,복식부기,결산세출,326825920,319334650,52592700,333587530,460225980,S120000934,57070740,3228411.5,N100000001,13,N,서산부춘중학교,
,공립,3,충청남도 서산시,,충청남도서산교육지원청,충청남도교육청,N100000094,0,N,0,복식부기,결산세출,394012000,242308790,343746330,576802280,746008250,S120000935,80376270,2854196.3,N100000001,13,N,서산여자중학교,
