"공시년도","학교급명","시도교육청명","층화학교ID","70%추출","공시학년명","성별명","5등급학생수","4등급학생수","3등급학생수","2등급학생수","1등급학생수"
"2021",중학교,경기도교육청,"5595312046",Y,"1학년",남자,1,0,2,0,0
"2021",중학교,경기도교육청,"5679455168",Y,"1학년",남자,1,2,13,6,3
"2021",중학교,경기도교육청,"5993599851",Y,"1학년",남자,1,8,25,17,1
"2021",중학교,경기도교육청,"6163690235",Y,"1학년",남자,0,10,24,17,2
"2021",중학교,경기도교육청,"6179697859",Y,"1학년",남자,0,6,3,2,0
"2021",중학교,경기도교육청,"6461573080",Y,"1학년",남자,0,2,3,2,0
"2021",중학교,경기도교육청,"6665025610",Y,"1학년",남자,0,6,9,8,0
"2021",중학교,경기도교육청,"6676113275",Y,"1학년",남자,0,3,2,0,0
"2021",중학교,경기도교육청,"7028914461",Y,"1학년",남자,14,63,45,5,0
"2021",중학교,경기도교육청,"7055487690",Y,"1학년",남자,5,20,39,21,3
"2021",중학교,경기도교육청,"7186293189",Y,"1학년",남자,17,48,63,18,1
"2021",중학교,경기도교육청,"7251831606",Y,"1학년",남자,0,12,45,35,5
"2021",중학교,경기도교육청,"7459667790",Y,"1학년",남자,6,29,44,20,0
"2021",중학교,경기도교육청,"7540316532",Y,"1학년",남자,8,48,21,0,0
"2021",중학교,경기도교육청,"7994812702",Y,"1학년",남자,29,73,47,6,0
"2021",중학교,경기도교육청,"8059633005",Y,"1학년",남자,3,12,24,9,0
"2021",중학교,경기도교육청,"8230715860",Y,"1학년",남자,2,37,78,29,4
"2021",중학교,경기도교육청,"8246114063",Y,"1학년",남자,3,10,13,4,0
"2021",중학교,경기도교육청,"8498379659",Y,"1학년",남자,1,1,0,2,0
"2021",중학교,경기도교육청,"8678661678",Y,"1학년",남자,2,32,75,56,3
"2021",중학교,경기도교육청,"9622312563",Y,"1학년",남자,3,34,41,25,2
"2021",고등학교,경기도교육청,"1386060250",Y,"1학년",여자,0,10,79,14,0
"2021",고등학교,경기도교육청,"1447264286",Y,"1학년",여자,1,10,43,42,2
"2021",고등학교,경기도교육청,"1684292737",Y,"1학년",여자,9,28,32,0,0
"2021",고등학교,경기도교육청,"2034912084",Y,"1학년",여자,9,73,57,5,0
"2021",고등학교,경기도교육청,"2194297862",Y,"1학년",여자,3,39,52,1,0
"2021",고등학교,경기도교육청,"2437461732",Y,"1학년",여자,4,22,76,59,1
"2021",고등학교,경기도교육청,"2714320088",Y,"1학년",여자,0,9,35,34,8
"2021",고등학교,경기도교육청,"2815116901",Y,"1학년",여자,1,14,12,10,0
"2021",고등학교,경기도교육청,"2945363774",Y,"1학년",여자,1,33,91,44,1
"2021",고등학교,경기도교육청,"2989394526",Y,"1학년",여자,0,20,101,125,25
"2021",고등학교,경기도교육청,"2993759698",Y,"1학년",여자,0,2,9,5,1
"2021",고등학교,경기도교육청,"3469195460",Y,"1학년",여자,0,18,24,5,0
"2021",고등학교,경기도교육청,"3605182316",Y,"1학년",여자,2,27,56,28,1
"2021",고등학교,경기도교육청,"3756586459",Y,"1학년",여자,1,14,74,107,34
"2021",고등학교,경기도교육청,"3934172318",Y,"1학년",여자,1,15,81,36,2
"2021",고등학교,경기도교육청,"4035008663",Y,"1학년",여자,14,79,83,6,0
"2021",고등학교,경기도교육청,"4116929898",Y,"1학년",여자,2,20,85,50,0
"2021",고등학교,경기도교육청,"4159280602",Y,"1학년",여자,0,11,10,8,0
"2021",고등학교,경기도교육청,"4249060518",Y,"1학년",여자,18,100,90,8,0
"2021",고등학교,경기도교육청,"4465048034",Y,"1학년",여자,0,20,90,52,1
