SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM
고,사립,4,서울특별시 강동구,4.0,서울특별시교육청,서울특별시교육청,B100000001,0,N,53320000,복식부기,예산세출,328432000,119352000,21927000,73965000,106592000,S010000453,5785214000,9846437.0,B100000001,1,일반고등학교,N,상일여자고등학교
,사립,4,서울특별시 노원구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,48436000,복식부기,예산세출,562940000,214705000,18500000,41493000,225349000,S010000454,6525427000,7287070.6,B100000001,1,일반고등학교,N,서라벌고등학교
,사립,4,서울특별시 서초구,,서울특별시교육청,서울특별시교육청,B100000001,5000000,N,45000000,복식부기,예산세출,613400000,301271000,68826000,102398000,455474000,S010000455,5976631000,8668957.6,B100000001,1,일반고등학교,N,서문여자고등학교
,사립,4,서울특별시 관악구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,46000000,복식부기,예산세출,377691000,88293000,1206000000,203251000,98213000,S010000458,2916728000,9141066.7,B100000001,1,일반고등학교,N,서울미술고등학교
,사립,4,서울특별시 강남구,,서울특별시교육청,서울특별시교육청,B100000001,15000000,N,0,복식부기,예산세출,438865000,190223000,10900000,46940000,79889000,S010000459,4447195000,9683355.6,B100000001,1,일반고등학교,N,서울세종고등학교
,사립,4,서울특별시 도봉구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,427500000,복식부기,예산세출,903427000,281970000,55660000,132605000,294850000,S010000465,5591635000,6888572.6,B100000001,1,자율고등학교,N,선덕고등학교
,사립,4,서울특별시 은평구,,서울특별시교육청,서울특별시교육청,B100000001,25000000,N,50000000,복식부기,예산세출,382941000,209396000,61700000,131873000,173531000,S010000466,5964827000,9885971.8,B100000001,1,일반고등학교,N,선일여자고등학교
,사립,4,서울특별시 은평구,,서울특별시교육청,서울특별시교육청,B100000001,1000000,N,240047000,복식부기,예산세출,928568000,170800000,0,89216000,860849000,S010000467,8256425000,9605560.1,B100000001,1,일반고등학교,N,선정고등학교
고,사립,4,서울특별시 동작구,4.0,서울특별시교육청,서울특별시교육청,B100000001,10000000,N,50000000,복식부기,예산세출,718276000,260040000,974310000,234795000,126265000,S010000468,6555360000,9074233.7,B100000001,1,일반고등학교,N,성남고등학교
,사립,4,서울특별시 관악구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,30000000,복식부기,예산세출,584912000,213634000,39100000,129519000,836589000,S010000470,4422635000,10239589.2,B100000001,1,일반고등학교,N,성보고등학교
