SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
고,사립,4,서울특별시 서초구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,45000000,118596000,0,7802479000,870196000,S010000474,0,B100000001,1,자율고등학교,N,세화여자고등학교,
고,사립,4,서울특별시 중랑구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,25000000,28789000,0,0,20000000,S010000475,5415489000,B100000001,1,일반고등학교,N,송곡고등학교,
,사립,4,서울특별시 중랑구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,30000000,15000000,0,0,315000000,S010000476,5572946000,B100000001,1,일반고등학교,N,송곡여자고등학교,
고,사립,4,서울특별시 강남구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,30000000,776326000,0,34000000,144771000,S010000479,7921540000,B100000001,1,일반고등학교,N,숙명여자고등학교,
,사립,4,서울특별시 마포구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,530840000,56003000,0,447776000,348779000,S010000480,3291602000,B100000001,1,일반고등학교,N,숭문고등학교,
,사립,4,서울특별시 은평구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,20000000,86620000,0,964214000,12000000,S010000481,8142404000,B100000001,1,일반고등학교,N,숭실고등학교,
,사립,4,서울특별시 동작구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,35000000,7150000,0,0,97900000,S010000482,6184197000,B100000001,1,일반고등학교,N,숭의여자고등학교,
,사립,4,서울특별시 용산구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,10000000,4379000,0,0,89000000,S010000483,3553661000,B100000001,1,일반고등학교,N,신광여자고등학교,
,사립,4,서울특별시 강북구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,1341215000,68154000,0,8330700000,918931000,S010000486,0,B100000001,1,자율고등학교,N,신일고등학교,
고,사립,4,서울특별시 양천구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,190567000,100387000,0,7614752000,1136750000,S010000488,0,B100000001,1,자율고등학교,N,양정고등학교,
,사립,4,서울특별시 양천구,,서울특별시교육청,서울특별시교육청,B100000001,Y,복식부기,,0,0,0,0,0,S010000489,0,B100000001,1,일반고등학교,N,양천고등학교,(본교는 접수금액 없으므로) 입력값은 실제 자료와 일치하여 이상없음
,사립,4,서울특별시 양천구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,1100000,38100000,0,92000000,90000000,S010000490,9181747000,B100000001,1,일반고등학교,N,목동고등학교,
,사립,4,서울특별시 노원구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,1000,17100000,0,586000000,79000000,S010000494,5996466000,B100000001,1,일반고등학교,N,염광고등학교,
고,사립,4,서울특별시 강남구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,100000000,17980000,0,345480000,45000000,S010000495,7012130000,B100000001,1,일반고등학교,N,영동고등학교,
,사립,4,서울특별시 송파구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,10000000,147900000,0,105780000,1000000,S010000496,6778971000,B100000001,1,일반고등학교,N,영동일고등학교,
,사립,4,서울특별시 관악구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,20000000,28024000,0,50500000,62000000,S010000499,4517747000,B100000001,1,일반고등학교,N,영락고등학교,
고,사립,4,서울특별시 양천구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,0,15530000,0,646314000,30000000,S010000500,4217728000,B100000001,1,특성화고등학교,N,서울영상고등학교,
