SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM
,사립,4,서울특별시 강서구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,775443360,복식부기,결산세출,370629003,703056257,106251670,530064670,1662590750,S010000429,5522629170,12608428.8,B100000001,1,일반고등학교,N,마포고등학교
,사립,4,서울특별시 강서구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,61612000,미지정,결산세출,691938398,499625320,310570300,552694146,6328070266,S010000431,5555536893,18666729.8,B100000001,1,일반고등학교,N,명덕고등학교
고,사립,4,서울특별시 강서구,4.0,서울특별시교육청,서울특별시교육청,B100000001,0,N,492066390,미지정,결산세출,661549093,339356301,123976920,508887478,1994313969,S010000432,7175234950,10923970.1,B100000001,1,일반고등학교,N,명덕여자고등학교
고,사립,4,서울특별시 광진구,4.0,서울특별시교육청,서울특별시교육청,B100000001,69826180,N,3314648744,복식부기,결산세출,537883196,826056687,97163638,339791590,981166665,S010000433,5264221500,18001194.0,B100000001,1,일반고등학교,N,동국대학교사범대학부속가람고등학교
고,사립,4,서울특별시 서대문구,4.0,서울특별시교육청,서울특별시교육청,B100000001,28550,N,0,미지정,결산세출,824086211,2151940556,362759285,846453776,1995130604,S010000435,7981250466,10769315.2,B100000001,1,일반고등학교,N,명지고등학교
,사립,4,서울특별시 관악구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,1166436050,복식부기,결산세출,616057380,620640740,74903590,276959223,1351686401,S010000437,5242821320,15055563.1,B100000001,1,일반고등학교,N,서울문영여자고등학교
고,사립,4,서울특별시 금천구,4.0,서울특별시교육청,서울특별시교육청,B100000001,261995370,N,0,미지정,결산세출,848759194,2131404168,180231310,316718220,1343513810,S010000438,6223949140,13239544.7,B100000001,1,일반고등학교,N,문일고등학교
고,사립,4,서울특별시 관악구,4.0,서울특별시교육청,서울특별시교육청,B100000001,1278860,N,715861403,미지정,결산세출,353039233,533455321,68671460,260707920,915959287,S010000439,3951147360,13386064.7,B100000001,1,일반고등학교,N,미림여자고등학교
고,사립,4,서울특별시 송파구,4.0,서울특별시교육청,서울특별시교육청,B100000001,43904210,N,1709672860,미지정,결산세출,448982465,665810725,891551925,431480170,1661425836,S010000441,6613555370,15074224.4,B100000001,1,일반고등학교,N,배명고등학교
고,사립,4,서울특별시 용산구,4.0,서울특별시교육청,서울특별시교육청,B100000001,35954380,N,101439430,미지정,결산세출,318140752,390870019,351428569,331060495,959505570,S010000442,4140531029,18939800.7,B100000001,1,일반고등학교,N,배문고등학교
고,사립,4,서울특별시 강동구,4.0,서울특별시교육청,서울특별시교육청,B100000001,0,N,848419226,복식부기,결산세출,1216708195,504499741,1201779265,902493586,3385411532,S010000443,7713952158,12720374.0,B100000001,1,자율고등학교,N,배재고등학교
고,사립,4,서울특별시 종로구,4.0,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,결산세출,462811283,964765034,89381022,215236896,943488517,S010000444,4831965760,14720879.4,B100000001,1,일반고등학교,N,배화여자고등학교
고,사립,4,서울특별시 양천구,4.0,서울특별시교육청,서울특별시교육청,B100000001,3189000,N,1670493450,미지정,결산세출,864208270,216450150,54026430,394616256,1508068040,S010000445,5868169810,10484857.7,B100000001,1,일반고등학교,N,백암고등학교
고,사립,4,서울특별시 송파구,4.0,서울특별시교육청,서울특별시교육청,B100000001,6482870,N,370408620,복식부기,결산세출,592857445,237619444,388830960,432514561,1518754800,S010000446,6181401966,12651327.3,B100000001,1,일반고등학교,N,보성고등학교
고,사립,4,서울특별시 용산구,4.0,서울특별시교육청,서울특별시교육청,B100000001,23874590,N,1139926540,복식부기,결산세출,630613305,302557910,97340360,435234186,982931730,S010000447,3777872585,19551193.7,B100000001,1,일반고등학교,N,보성여자고등학교
,사립,4,서울특별시 종로구,,서울특별시교육청,서울특별시교육청,B100000001,80845280,N,1230223683,미지정,결산세출,290372514,272102807,42384530,174156550,1042363670,S010000450,4242775310,19306870.0,B100000001,1,일반고등학교,N,상명대학교사범대학부속여자고등학교
고,사립,4,서울특별시 노원구,4.0,서울특별시교육청,서울특별시교육청,B100000001,0,N,461895290,복식부기,결산세출,502210833,506924791,185844396,465280249,1894596860,S010000451,5601508260,11369102.5,B100000001,1,일반고등학교,N,상명고등학교
고,사립,4,서울특별시 서초구,4.0,서울특별시교육청,서울특별시교육청,B100000001,73614700,N,2401852338,복식부기,결산세출,1178800303,429520088,705200190,648494532,1692580790,S010000452,6927476930,12045878.2,B100000001,1,일반고등학교,N,상문고등학교
고,사립,4,서울특별시 강동구,4.0,서울특별시교육청,서울특별시교육청,B100000001,0,N,98097790,미지정,결산세출,511769106,2186172056,48204510,295702487,1657998490,S010000453,5845869110,14640733.9,B100000001,1,일반고등학교,N,상일여자고등학교
고,사립,4,서울특별시 노원구,4.0,서울특별시교육청,서울특별시교육청,B100000001,123325410,N,1235642310,복식부기,결산세출,730125923,455386349,43699000,467885493,1500684990,S010000454,6727184830,10944650.2,B100000001,1,일반고등학교,N,서라벌고등학교
고,사립,4,서울특별시 서초구,4.0,서울특별시교육청,서울특별시교육청,B100000001,69101180,N,313913650,미지정,결산세출,623458119,368177990,42048780,462865336,1866089818,S010000455,6245620120,11366638.2,B100000001,1,일반고등학교,N,서문여자고등학교
