SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM
고,사립,4,서울특별시 광진구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,190128648,8409616,0,106715320,110310000,S010000433,7624024540,B100000001,1,일반고등학교,N,동국대학교사범대학부속가람고등학교
고,사립,4,서울특별시 서대문구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,1367685602,39239621,0,256511118,13649000,S010000435,11852099982,B100000001,1,일반고등학교,N,명지고등학교
,사립,4,서울특별시 관악구,,서울특별시교육청,서울특별시교육청,B100000001,N,미지정,결산세입,23679943,6285148,0,100486190,5000000,S010000437,7148952420,B100000001,1,일반고등학교,N,서울문영여자고등학교
,사립,4,서울특별시 금천구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,95890986,10633011,0,236188287,42663741,S010000438,10098116142,B100000001,1,일반고등학교,N,문일고등학교
고,사립,4,서울특별시 관악구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,50528158,20889817,0,126135890,143797380,S010000439,7262605310,B100000001,1,일반고등학교,N,미림여자고등학교
고,사립,4,서울특별시 송파구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,미지정,결산세입,2544282554,22601800,0,1001046193,371860400,S010000441,9511242040,B100000001,1,일반고등학교,N,배명고등학교
고,사립,4,서울특별시 용산구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,미지정,결산세입,147601039,16000412,0,232236590,421092640,S010000442,6713383724,B100000001,1,일반고등학교,N,배문고등학교
,사립,4,서울특별시 강동구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,250874663,248027380,0,9131759415,750800440,S010000443,2233469354,B100000001,1,자율고등학교,N,배재고등학교
고,사립,4,서울특별시 종로구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,110359439,4413371,0,100239980,23000000,S010000444,7050898480,B100000001,1,일반고등학교,N,배화여자고등학교
고,사립,4,서울특별시 양천구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,미지정,결산세입,79899482,7504794,0,114232400,23142230,S010000445,8916163540,B100000001,1,일반고등학교,N,백암고등학교
고,사립,4,서울특별시 송파구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,85093305,9398935,0,223086878,200937054,S010000446,11684217560,B100000001,1,일반고등학교,N,보성고등학교
고,사립,4,서울특별시 용산구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,133255872,11153155,0,116566390,261062234,S010000447,6382000900,B100000001,1,일반고등학교,N,보성여자고등학교
,사립,4,서울특별시 종로구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,129359387,15256463,0,138162670,178408327,S010000450,6444572161,B100000001,1,일반고등학교,N,상명대학교사범대학부속여자고등학교
고,사립,4,서울특별시 노원구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,미지정,결산세입,139051839,14841642,0,147548930,587937010,S010000451,8526492960,B100000001,1,일반고등학교,N,상명고등학교
고,사립,4,서울특별시 서초구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,665467036,177923084,0,609498900,304105040,S010000452,9706134940,B100000001,1,일반고등학교,N,상문고등학교
고,사립,4,서울특별시 강동구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,108528402,37611974,0,96199460,273180710,S010000453,8652575720,B100000001,1,일반고등학교,N,상일여자고등학교
,사립,4,서울특별시 노원구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,174675647,26517336,0,121840640,100000,S010000454,12622460380,B100000001,1,일반고등학교,N,서라벌고등학교
,사립,4,서울특별시 서초구,,서울특별시교육청,서울특별시교육청,B100000001,N,미지정,결산세입,73925823,210370475,0,68447000,408511430,S010000455,8901267360,B100000001,1,일반고등학교,N,서문여자고등학교
,사립,4,서울특별시 관악구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,204443824,126580880,0,1390193030,14025631,S010000458,5280766400,B100000001,1,일반고등학교,N,서울미술고등학교
