SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
,사립,4,경상남도 사천시,,경상남도교육청,경상남도교육청,S100000001,6000000,N,0,복식부기,예산세출,285917000,90868000,94775000,134282000,877169000,S160000593,3734588000,13291600.5,S100000001,17,일반고등학교,N,삼천포여자고등학교,
,사립,4,경상남도 진주시,,경상남도교육청,경상남도교육청,S100000001,7300000,N,55892000,복식부기,예산세출,396486000,103422000,300842000,208315000,1362073000,S160000596,4812500000,10657102.9,S100000001,17,일반고등학교,N,삼현여자고등학교,
,사립,4,경상남도 진주시,,경상남도교육청,경상남도교육청,S100000001,7000000,N,20000000,복식부기,예산세출,397383000,127862000,136783000,222405000,919269000,S160000602,4925325000,15013393.3,S100000001,17,특성화고등학교,N,선명여자고등학교,
고,사립,4,경상남도 창원시 마산합포구,4.0,경상남도교육청,경상남도교육청,S100000001,10000000,N,20000000,복식부기,예산세출,339244000,91593000,148108000,213258000,1936669000,S160000606,4676505000,14960517.1,S100000001,17,일반고등학교,N,성지여자고등학교,
고,사립,4,경상남도 진주시,4.0,경상남도교육청,경상남도교육청,S100000001,3100000,N,43182000,복식부기,예산세출,262802000,170114000,105937000,136471000,582665000,S160000607,3905828000,18345419.0,S100000001,17,특성화고등학교,N,경진고등학교,
,사립,4,경상남도 밀양시,,경상남도교육청,경상남도교육청,S100000001,10244000,N,16000000,복식부기,예산세출,262856000,137744000,83527000,185084000,1158195000,S160000608,3373650000,12626328.5,S100000001,17,일반고등학교,N,세종고등학교,
,사립,4,경상남도 산청군,,경상남도교육청,경상남도교육청,S100000001,10000000,N,0,복식부기,예산세출,247528000,114173000,15942000,37791000,469091000,S160000609,1690066000,18461364.3,S100000001,17,특성화고등학교,N,경남간호고등학교,
,사립,4,경상남도 양산시,,경상남도교육청,경상남도교육청,S100000001,7500000,N,0,복식부기,예산세출,243763000,210066000,136600000,350682000,1539238000,S160000619,4925349000,9602588.1,S100000001,17,일반고등학교,N,양산제일고등학교,
,사립,4,경상남도 양산시,,경상남도교육청,경상남도교육청,S100000001,10000000,N,0,복식부기,예산세출,323617000,265816000,23480000,341225000,1326195000,S160000626,6143633000,8685855.8,S100000001,17,일반고등학교,N,양산여자고등학교,
고,사립,4,경상남도 창녕군,4.0,경상남도교육청,경상남도교육청,S100000001,5000000,N,34165000,복식부기,예산세출,216156000,90820000,363281000,186039000,1741358000,S160000634,2267422000,18096830.3,S100000001,17,일반고등학교,N,창녕옥야고등학교,
,사립,4,경상남도 사천시,,경상남도교육청,경상남도교육청,S100000001,4560000,N,0,복식부기,예산세출,228031000,116369000,77386000,75293000,1714405000,S160000639,2210719000,11528028.6,S100000001,17,일반고등학교,N,용남고등학교,
고,사립,4,경상남도 합천군,4.0,경상남도교육청,경상남도교육청,S100000001,3000000,N,4600000,복식부기,예산세출,117581000,137807000,64968000,101780000,562229000,S160000642,1567613000,37640852.9,S100000001,17,특성화고등학교,N,합천평화고등학교,
,사립,4,경상남도 의령군,,경상남도교육청,경상남도교육청,S100000001,15000000,N,1003000000,복식부기,예산세출,210196000,146285000,13300000,73056000,916180000,S160000644,2107356000,25193106.7,S100000001,17,일반고등학교,N,의령여자고등학교,
고,사립,4,경상남도 진주시,4.0,경상남도교육청,경상남도교육청,S100000001,7500000,N,36000000,복식부기,예산세출,422284000,130620000,147798000,222721000,1343989000,S160000663,5121921000,10694723.7,S100000001,17,일반고등학교,N,진주동명고등학교,
